job_role,experience_years,ai_tool_usage_hours_per_week,tasks_automated_percent,manual_work_hours_per_week,learning_time_hours_per_week,deadline_pressure_level,meeting_hours_per_week,collaboration_hours_per_week,error_rate_percent,task_complexity_score,focus_hours_per_day,work_life_balance_score,burnout_risk_score,productivity_score
Analyst,1,16,35.2,24.6,3.8,Low,1.2,6.8,0.51,2,4.3,5.5,6.76,64.4
Designer,4,4.3,14.9,24.9,4.2,Medium,7,6.4,0.64,5,3.3,5.4,8.47,47.4
Developer,2,8.8,18.9,18.7,0.6,High,1.3,12,4.7,7,6.6,5.8,9.83,48.7
Analyst,1,20.2,56.8,10,1.6,High,2.1,7,4.35,3,5.6,4.9,10,65.3
Analyst,4,13,32.4,12.6,5.1,Medium,7.1,9.6,3.34,1,4.7,6.3,7.81,58.4
Designer,2,7.3,16.9,26.3,1.4,High,3.3,7.4,3.04,3,6,3.8,10,49.3
Marketer,1,7.7,21.9,21.7,0.6,Low,5.5,4.4,4.15,10,3.5,7.3,5.44,57.2
Developer,20,11.4,22.6,24.7,4.8,Low,2.5,4.8,0.35,8,5.8,6.4,6.12,91.9
Developer,17,18.3,39.3,18.6,0.4,Medium,2.1,4,3.93,1,6,4.7,8.99,70.2
Designer,7,7.3,22.7,31.5,2.7,Medium,5.4,6.4,0.1,8,4.7,3.5,9.9,74.6
Analyst,16,9.8,20.8,21.2,1.7,High,1.6,5.5,1.47,9,4.3,4.8,10,58.5
Writer,10,22.8,61.4,16.1,1.3,Medium,4.3,7.7,2.28,4,5.1,3.7,9.74,83.2
Designer,19,5.9,11.2,24.5,1.1,Medium,3.5,6.5,1.85,2,4.9,6,8.03,69.3
Developer,5,16,46.7,16.4,2.8,High,5.7,6.1,0.81,1,4.6,3.5,10,66.5
Writer,12,21.7,53.6,18.6,1.7,High,2.4,2,4.79,1,7,2.3,10,80.9
Developer,11,22.5,57.7,10,0.5,Low,6.9,7.5,5.22,3,3.5,6.2,6.26,69.6
Analyst,10,9.1,23.2,24.5,2.3,Low,9.6,9.3,0.18,4,4,5.2,6.99,72
Analyst,13,15.5,31.4,23.5,4.5,Medium,4.6,4.6,1.64,8,3.6,3.6,9.82,61.9
Developer,11,16.7,45.2,10,1.2,Low,3.4,6,5.02,1,6.3,8.5,4.56,82
Manager,12,6.4,20.5,26.8,1,High,18.5,13.4,1.84,6,2,1,10,54.8
Designer,3,1.9,5.3,23.1,1,High,4.3,5.5,3.37,4,4,5.7,9.91,30.9
Designer,14,6.5,19,23.2,6.6,High,6.7,7.7,0.24,2,3.9,3.9,10,57.5
Designer,18,7.9,15.4,27.4,5.6,High,6.1,7.9,1.23,5,4.1,2.7,10,54.7
Developer,7,17.8,39.6,15.6,5.1,Low,4.8,10.8,0.39,8,4.4,6.5,6.04,74.7
Manager,13,0.9,4.2,31.4,0.4,Medium,15.9,13.2,3.63,1,2.3,2.5,10,38.2
Writer,12,15.2,34.3,23.5,2.3,Medium,4.3,10,1.79,4,4.1,3.8,9.68,54
Developer,4,11.7,30.2,13.6,1,Low,4.6,11.3,4.01,8,5,8.5,4.54,68
Developer,19,12.2,33,19.3,0.7,Medium,5.4,8,3.2,4,6.3,5.3,8.56,79.3
Designer,7,4.2,12.9,29.3,4.9,High,5.1,8.6,0.1,8,5.5,3.4,10,65.9
Analyst,5,8.5,14.6,22.6,1,Medium,3.6,11.4,0.81,9,4,5.8,8.18,58
Manager,14,4.7,10.8,31.3,2.2,High,20.5,15.7,2.14,7,1,1,10,48
Designer,15,1.6,8.3,26.9,1.2,Medium,4.4,2.9,0.1,8,4.7,6.3,7.82,63.3
Analyst,10,9.2,20.4,27.8,0.9,Medium,4.4,7.4,0.78,6,5.7,4.2,9.38,69.6
Analyst,5,12.4,22.5,31.2,1.3,High,7.1,6.7,2.28,9,4.9,1,10,57.2
Manager,10,5.9,14.5,28.7,1.5,High,23.4,14,3.09,3,2.2,1,10,43.6
Analyst,5,4.2,0,21.8,2.5,High,4.7,2.6,0.1,1,5.6,5.3,10,54.9
Analyst,16,18.1,51.6,10,3.5,Low,1.8,4.9,0.57,4,6.1,8.5,4.54,100
Designer,6,5.5,3.8,21.6,3.3,Low,2.1,6.5,0.1,6,5.6,8.7,4.4,72
Writer,1,16.6,35.8,19.1,0.7,Medium,6.2,4.4,5.03,9,3.9,4,9.51,51.5
Analyst,6,6,20.1,23.6,5.1,Medium,6.2,9.9,2.58,7,5.4,5.5,8.4,57.2
Analyst,3,6,4.3,29.3,2.4,High,5.8,8.6,2.4,7,3.9,2.7,10,32.6
Developer,6,18.7,37.9,10.5,1.1,Low,5.5,8.6,2.5,6,6.9,7.3,5.43,88.9
Manager,3,4.5,6.4,29.9,0.6,Low,15.6,12.5,0.13,7,1,3.5,8.25,33.1
Manager,19,0,0,26.2,3.5,Low,17.2,11.3,1.57,10,2.2,5.2,7,52.7
Marketer,8,6.7,21.2,29.4,2.3,Medium,6.7,6.3,4.16,1,4.5,3.8,9.67,43.2
Designer,8,6.6,23.2,27.1,2.9,Low,7.2,7.7,0.1,3,4.7,5.8,6.55,70.4
Analyst,15,13.4,35.7,11.9,0.9,High,6.8,10.7,3.48,5,6.2,5,10,78.4
Designer,19,8.5,21.3,32.2,0.6,Low,5.9,8.6,3.3,10,5.9,4.4,7.6,72.7
Analyst,5,14.7,36.9,17,2.3,High,2.3,5.5,1.57,5,6.1,4.5,10,63.5
Developer,17,19.4,45.8,10,3.8,Low,3,6.1,1.76,4,6.1,7.9,4.99,98.7
Marketer,11,0.5,0,40.7,2.4,Medium,7.5,11.4,3.08,1,1.6,2.3,10,29.9
Marketer,18,7,21.1,23.2,3.9,Low,8.3,7.4,1.88,10,4.5,6.4,6.11,83.8
Marketer,7,8.5,10.5,26.8,4.4,Low,5.6,5.7,1.57,1,5.1,5.8,6.55,49
Designer,6,4.2,1.8,28.6,0.2,Medium,5.3,2.7,0.62,4,4.2,5,8.79,47.1
Analyst,18,6.9,24.9,20.3,0.4,Low,6.6,7.6,2.45,7,5.1,7.5,5.28,85.8
Developer,11,23.4,53.4,14,5.1,Medium,8.5,11.5,2.35,9,3.5,3,10,71.6
Manager,1,3.6,12,26.4,0.2,High,10.7,9.7,1.78,10,3.2,2.8,10,40.7
Marketer,11,13.1,28.3,26,3.7,Low,4.1,5,1.65,6,4.4,5.2,6.99,71.6
Developer,8,15.2,40.2,17.9,4.3,Low,2.1,5,1.7,4,5.7,7.2,5.51,92.1
Writer,19,23.3,48.6,10,3.7,Medium,7.8,9.5,0.1,10,4.9,4.2,9.37,90.7
Analyst,8,14,38.5,23.9,2.8,Medium,2.3,5.7,3.31,5,5.4,4.5,9.16,60.8
Marketer,16,9.7,20.6,24,0.4,Low,4.9,9.9,2.68,8,4.1,6.4,6.12,67.9
Marketer,4,11.2,24.8,23.2,5.1,High,4.3,8.8,3.02,7,3.3,3.3,10,46.1
Manager,4,2.1,8,25.6,1.5,Medium,13.4,12.4,0.67,9,2.9,4.2,9.37,44.6
Manager,9,6.8,12.2,26.7,0.3,Low,16.4,13.9,4.21,5,2.6,3.5,8.24,45.1
Analyst,6,12.6,36.2,19.9,2.9,Medium,1.9,8.1,0.56,9,7.3,5.9,8.11,79.8
Analyst,15,13.8,28.3,25.6,0.3,Low,3.7,7.3,2.87,10,4.7,5.2,6.99,64.5
Marketer,4,11.6,28.8,20.9,2.2,Low,5.3,9.2,0.65,6,5.2,6.6,5.97,77.4
Writer,15,13.3,32,14.7,2,High,6.1,9.1,4.06,2,5,4.5,10,60.4
Marketer,7,9.9,33.5,22.6,1,Low,3.1,4.9,2.68,9,6.7,7.1,5.59,78.8
Designer,8,7.4,20.6,34.5,1.2,High,8.2,10.8,1.3,5,4.5,1,10,61
Analyst,16,10.2,17.6,27.3,1.9,High,6.3,9.5,2.59,9,4.7,2.1,10,59.7
Developer,1,22.1,50.2,12.7,1.3,Low,8.2,9.4,5.53,7,5,5.2,6.98,67.5
Analyst,14,11.9,29.7,18.3,3.6,Low,4.9,3.6,0.1,2,5.3,7.2,5.51,84.5
Manager,20,2.1,4.4,37.8,2.9,Medium,20,15.6,2.61,5,2,1,10,41.9
Analyst,1,12.6,20.6,16.2,2.4,Medium,4.5,6.8,3.55,5,4.8,6.2,7.9,48.3
Marketer,1,7.5,23.3,27.5,2.7,Medium,11.6,9,0.1,8,1.9,2.8,10,42.8
Designer,19,7.9,17.6,32.2,2.4,Medium,2,9.7,0.47,3,5.6,4,9.53,69.4
Writer,9,14,32.6,21.6,3.9,Medium,6.3,7.3,1.95,4,5,4,9.51,71.6
Developer,16,13.5,36.2,14.7,3.3,Low,7.3,8.4,2.61,10,3.3,7.1,5.58,84.8
Analyst,19,16.4,36.4,19.9,2.7,Low,5.6,6.3,3.15,10,5,5.5,6.76,92.2
Analyst,20,5.6,17.7,19.4,0.6,Medium,9.4,10,1.71,1,3.8,5.9,8.11,70.3
Analyst,12,10.5,19.1,20.3,0.8,Medium,5.6,6.9,1.98,5,3.4,5.4,8.48,60.9
Analyst,2,13.4,31.4,24,2,High,4.4,7.7,4.41,1,4.9,2.6,10,46.7
Developer,3,13.7,26.8,21.3,5.6,High,5.8,8.1,0.1,10,3.9,2.8,10,62.1
Developer,12,14.8,42.2,10.5,2.8,Medium,7.2,8.9,1.15,7,4.3,6.4,7.75,71.9
Analyst,12,9.9,21.4,16.4,1.9,High,2.4,9,1.48,5,5.1,5.8,9.82,68.6
Analyst,16,10.1,27.5,21.7,2.5,Medium,1,4.1,0.48,1,6.1,6.3,7.82,87.9
Manager,1,4.5,1.9,33.2,2.7,Medium,14.9,13.9,3.62,4,3.5,1.3,10,35.1
Developer,20,18.5,46.6,10,5.6,Medium,2,6.6,0.1,7,6,6.9,7.38,97.8
Developer,13,10.2,21.9,23.3,1.1,Medium,4.6,6.4,2.78,8,6,5,8.79,62.5
Marketer,15,12.2,43.7,21.8,6.4,Low,2.2,4.9,1.29,2,6.7,7,5.67,98.6
Developer,3,20.4,50.3,11.4,1.7,High,9.4,8.7,2.16,3,4.2,2.7,10,56.8
Analyst,18,1.9,5.8,23.3,3,Medium,6.6,7,1.81,7,5.2,6.6,7.61,57.4
Designer,17,5.1,10.5,26.8,6.6,Low,1,9.1,0.9,3,7,7.8,5.07,92.9
Developer,3,13.7,33.8,23.7,4.6,High,10,10,2.08,5,3.3,1.2,10,48.4
Writer,4,9,26.7,27.4,4.7,Low,4.7,8.9,1.53,7,4.6,5.7,6.62,72
Manager,8,4.4,2,28.5,1.3,Medium,12.7,11.6,0.13,6,5.3,3.1,10,59.9
Developer,15,30.3,74.8,10,2.1,Low,6.4,6.9,2.67,10,5.6,4.3,7.65,97.8
Developer,2,17.1,47.5,11.7,1.4,Low,8.5,8.8,5.42,9,3.2,6.7,5.89,66.2
Analyst,17,10.3,30.6,16.6,1.3,High,1.3,2.3,3.09,3,6.5,5.9,9.74,82.9
Designer,12,9.1,23.5,25.6,2.3,Medium,6.2,9,3.99,1,4.4,4.3,9.3,55.3
Writer,15,14.6,38.8,16,0.9,Medium,3.3,8.4,1.15,6,3,6,8.03,70.7
Marketer,14,13,34.1,24,4.5,High,6.7,7.7,2.46,3,4.2,2.1,10,70.7
Analyst,11,8.5,16,22.3,0.7,High,4.5,4.6,4.36,2,6.8,4.2,10,56.1
Writer,16,22.6,61.8,10,1.9,Medium,9.1,8.7,3.62,8,3.7,4.1,9.45,70.3
Designer,17,3.3,13,34.5,2.3,Low,8.6,11.1,0.1,3,3,4.4,7.58,66.2
Developer,14,17.5,47.7,14.2,3.5,Medium,6.7,10.7,0.1,5,5.6,4.9,8.85,88.5
Marketer,11,9.8,19.6,24.6,1.2,High,6.2,6.9,1.87,9,3.3,2.8,10,48.6
Developer,2,7.7,25.7,16.3,2.2,High,5.9,5.6,0.96,4,5.2,5.5,10,55.1
Manager,11,9.6,32.5,26.9,1,Medium,14.8,12.5,4.68,8,2.4,1.7,10,60.9
Designer,1,11.1,31.1,25.1,1.3,Medium,10.2,10.2,3.1,3,4.2,2.9,10,38.3
Writer,4,17.3,34.2,14,1.5,Low,2.1,2,3.96,9,5.6,7.6,5.2,71.6
Writer,3,14.8,43.7,18.4,1,High,4,4.4,4.29,8,5.6,3.7,10,67.5
Developer,6,0,2.4,27.2,3.5,High,3.3,6.5,0.68,8,3.9,5.4,10,41.8
Developer,11,18,54.7,10,3.9,Medium,9.3,10.8,1.4,7,3.8,5.2,8.64,68.9
Manager,17,3.4,4.8,40.1,5.5,High,14.2,13.8,0.1,2,3.2,1,10,64.2
Designer,19,4,1,27.7,6.8,High,2,5.3,1.18,2,5.3,4.6,10,55.3
Writer,4,12.6,30.7,20.9,1,High,1,6.8,4.75,7,5.9,4.4,10,45.2
Analyst,13,4.9,14.4,22.8,3.1,High,7,8.6,2.66,5,3.5,4.3,10,50.5
Manager,17,2.6,12.4,33,1.6,High,19.7,13,0.77,2,2.4,1,10,47.8
Writer,3,15.9,38,26,4.8,High,5.3,5.2,0.1,1,5.1,1.2,10,61.7
Analyst,17,14.7,38.9,21.6,3.9,Low,2.7,3.6,2.13,10,4.2,6.2,6.24,84.7
Writer,19,10.7,23.5,23.5,4.1,Low,2.8,7.3,0.1,1,5.5,6.8,5.82,92.1
Analyst,9,12.7,26.8,20.6,4.6,High,6.5,8.7,2.49,2,2.9,3.1,10,53.1
Marketer,7,9.6,33.5,24.1,0.5,High,8.4,11.7,1.57,6,4.1,2.5,10,65.1
Designer,7,7.8,16.2,28.5,4.9,Medium,3.6,5.5,0.1,9,6.8,4.5,9.14,77.9
Analyst,11,9.3,21.7,27.7,1.5,Medium,2.5,8.7,0.92,3,4.3,4.6,9.07,71.2
Marketer,16,10.8,31.6,15.2,3,Medium,11.1,12.8,0.1,10,2.3,5.2,8.63,71.4
Developer,12,18.6,41.8,17.5,1.1,Medium,5.9,8.9,4.53,4,4.4,4,9.52,63.6
Developer,15,10.2,32,26.6,2.1,Medium,6.2,6.2,0.1,4,6.1,3.8,9.68,76.1
Marketer,12,14.8,34.2,15.6,0.7,Medium,5.8,6.1,4.14,4,4.2,5.5,8.42,64.5
Developer,1,24,51.3,14.6,2.4,High,5.4,8.7,5.28,6,4.4,2,10,53.9
Manager,13,7,17.2,33.7,1.6,High,19.8,15.1,1.12,8,2.9,1,10,59.9
Analyst,19,19.6,53.5,16,3.9,Low,7.4,7.3,2.91,7,6.1,5.2,6.98,97.2
Analyst,2,18.6,62.6,10,1.2,Low,1.3,6.1,3.14,3,5,8.5,4.54,89.8
Writer,15,12.2,39.4,10,2.1,High,5.7,7.4,0.1,6,5,6,9.67,81.2
Developer,18,13.7,27.1,18.6,1.4,Low,4.2,5.8,0.94,2,3.7,6.9,5.74,71.1
Developer,19,15.7,42.8,13.6,1.1,Low,4.8,3,0.1,3,6,7.5,5.3,95.3
Developer,14,17.6,40.2,25.8,6,Low,1,2.4,1.92,8,6.8,4.9,7.21,85.5
Analyst,10,2.9,2.9,32.6,0.7,Medium,3.9,9.5,0.76,4,4.8,4.6,9.06,47.1
Writer,6,17.3,50,10,1.6,Medium,5.3,8.5,0.95,1,4.9,6.4,7.76,76.9
Writer,13,13.6,26.5,16.2,0.6,Low,1.3,6.7,5.01,2,5.3,8.2,4.77,79.1
Developer,17,13.9,46,13.2,2.3,Low,3.4,7.9,0.53,4,5.4,8.4,4.63,92.9
Designer,1,6.4,16.7,23.2,3.7,Low,1,5.5,1.9,8,3.5,8.4,4.64,66
Writer,6,14,29.7,18.9,2.2,Medium,6.8,10.9,4.57,3,5.9,4.6,9.08,53.7
Marketer,4,12.3,31.4,21.9,2.2,Low,6.1,5.9,0.92,10,6.9,5.9,6.47,77.9
Marketer,11,14.5,39.6,17.9,1.7,Medium,9.4,12.4,4.48,4,3.6,4.1,9.46,54.2
Analyst,11,12.4,25.9,23.2,0.4,Medium,2.8,4.4,4.25,6,5,4.9,8.85,56.1
Manager,6,4.7,5.1,34.4,0.4,High,14,11.1,0.55,7,3.3,1,10,53.1
Developer,7,23,64,10.2,0.5,Medium,6.2,8.6,4.41,9,2.2,4.6,9.06,58.9
Manager,2,1.8,0,22.1,0.9,Low,14.4,11.8,2.06,2,4.5,6.4,6.1,45.4
Analyst,5,7.2,14.8,25.2,2,Medium,8.7,9.1,0.43,7,5.5,4.2,9.37,68.2
Writer,15,23.4,53.5,11.6,4.9,High,1,2.9,0.1,4,5.8,4,10,89.2
Marketer,15,9.8,22.7,26.8,3.3,Low,5.1,9,0.37,2,4.4,5.6,6.7,81.4
Designer,17,8.7,19.4,25.4,2.7,Low,10.1,9,0.1,8,5.8,5,7.15,79.7
Writer,17,17.1,46.5,15.8,3.6,Low,3.3,6.8,1.2,6,3.1,7,5.67,83.3
Analyst,7,14.7,37.8,23.9,1.3,Medium,8.3,9.5,2.09,9,4.3,2.8,10,62.2
Designer,3,3.7,15.8,24.4,1.2,Medium,5.7,5.5,0.1,6,4.9,6.1,7.98,62
Analyst,19,9,29.2,27,3.3,Low,1.7,5.9,1.29,2,4.7,6.6,5.96,83
Developer,16,20.5,56.2,16.9,0.7,Low,5.3,8.8,3.72,5,3.4,5.3,6.91,86.4
Manager,5,6,13.7,24.5,4.2,Medium,11,10.9,1.16,4,4.3,4.1,9.44,46.6
Analyst,15,8,17.6,20.8,2.4,Low,7.7,8.8,1.65,8,4.5,6.9,5.74,77.4
Manager,16,8.7,21.9,24.6,1.5,Low,9.1,9.6,4.37,8,5.3,5.4,6.84,75.4
Developer,18,6.5,13.2,16,4.5,Low,1,5.5,0.26,10,4.8,10,3.41,84.8
Manager,6,7.7,16.8,21.9,1.1,High,11.9,9.7,2.97,7,3.1,2.6,10,39.5
Designer,18,9.6,16.7,26.8,0.2,High,1,8.3,3.59,5,5,3.6,10,65.6
Analyst,15,1.3,13.8,29.8,2.4,Medium,6.3,6.6,3.45,2,5.4,5.2,8.64,56.5
Designer,15,0,2.1,28.2,0.8,Medium,2.8,7.2,3.2,1,4.6,6.8,7.46,58
Developer,3,22.2,59.8,20.8,4,High,1,2,1.67,1,5.9,2,10,86.9
Analyst,11,6.1,16.5,24.8,1.2,High,2.6,7.7,2.45,5,4,4.6,10,70.6
Writer,3,23.1,58.9,10,2.9,High,4.2,7.1,3.59,8,3.7,3.7,10,59.7
Developer,14,15.9,43,10.3,3,Medium,3.4,7.9,0.55,9,4.1,7.1,7.23,85.6
Developer,12,16.3,35.5,11.2,0.8,Low,4.4,7.7,0.4,3,6,8,4.91,91.8
Designer,15,3.6,7.5,23.7,0.3,High,8.4,12.1,4.8,5,5.6,4.1,10,59.9
Developer,11,17.5,39.5,18.4,1,Medium,2.3,5.1,2.11,5,6.1,5,8.79,73
Manager,16,0.6,8.2,27.6,0.1,Medium,20.3,16.6,3.94,3,2.7,2.4,10,48.5
Analyst,7,10.9,24.4,19,2.4,High,1,6.9,0.1,10,6,5.3,10,52.9
Developer,7,9.6,24.7,20.2,2.1,High,1,6.2,1.81,2,5,5.3,10,63.3
Analyst,17,7.9,11.4,24.1,4.2,Low,4.7,5.6,0.38,1,4.8,6.8,5.8,76.5
Designer,18,8.2,16.9,32,1.1,High,4.9,8.2,1.17,8,4.9,1.7,10,64.6
Marketer,5,3.8,9.3,35.1,2.6,Low,2.9,4.1,2.08,10,4.2,5.6,6.71,46
Designer,16,5.6,13.4,27.6,1.1,Medium,4.1,5.7,4.17,8,5.7,5.2,8.64,56.5
Analyst,18,6.5,14.3,19,1,High,3.6,7.6,3.06,1,5.2,5.7,9.9,61.9
Writer,5,15.2,38.6,16.3,1.2,Medium,4.2,5.9,3.71,7,5.8,5.6,8.34,60
Marketer,6,2.6,10.6,29.2,1.5,Low,1.8,2.7,3.18,1,6.1,7.6,5.22,71.8
Analyst,14,11.2,34.8,17.1,0.9,High,6.9,10.4,1.49,1,3.7,4.2,10,72
Analyst,15,12.6,28.8,19.7,4.5,High,3.2,8.9,0.1,4,5.3,4.1,10,76.4
Marketer,5,10.2,33.1,22.4,3.3,High,5.1,5,1.6,7,3.4,3.6,10,46.3
Marketer,18,10.4,21,20.6,2.7,High,1,7.3,2.82,10,5.8,5,10,64.4
Marketer,20,14.4,41.3,24.3,2.7,Medium,9.9,6.7,3.31,1,3.6,2.3,10,75.1
Analyst,8,8.9,16.9,19,2.3,Low,9.6,11.8,2.84,1,5.8,6.6,5.95,65.9
Analyst,6,12.6,25.2,23.4,3.2,Low,1,5.8,0.1,9,4.1,6.8,5.82,67.5
Manager,6,7.6,14.9,29,0.3,Low,23.9,12.9,1.23,8,1.9,1,10,42.2
Analyst,14,11.9,24.2,24.3,1.4,Medium,7.6,5.8,0.1,3,5,3.5,9.88,67.9
Writer,3,18,40.9,19.1,1.2,Medium,6.3,9,3.26,1,4.4,3.6,9.8,55.2
Analyst,15,11.6,24.8,22.9,2.8,Low,4.1,4.7,1.05,1,5.8,6.4,6.12,73.5
Manager,14,1.4,4.9,27.3,3.7,Medium,23.5,17.6,0.1,5,1,1.4,10,52.3
Manager,4,9.7,17.7,25.2,2.5,Low,9.3,7.9,0.1,3,4.1,4.9,7.2,58.2
Designer,11,3,0,24.8,3.1,High,3,9.7,2.85,4,6.2,5.3,10,54.9
Designer,4,5.2,18.7,22.2,2,Low,1.6,2.5,0.54,8,6,8.8,4.34,74.7
Developer,3,13.5,40.2,10,1,Medium,1,6.1,3.57,6,6.4,8.4,6.27,64.1
Analyst,3,7.2,14.1,30.4,2,High,3.2,7,4.49,6,5.4,2.8,10,54.8
Analyst,20,9.7,25.4,19.8,0.5,Medium,1.8,9.8,0.66,1,4.7,6.7,7.53,83
Designer,1,6.6,13.7,22.9,4.2,Low,2.2,5,0.39,4,6.3,8.1,4.85,75.2
Designer,18,10.4,28.2,23.6,2.9,Low,6.4,10.2,0.1,1,5.8,5.9,6.47,100
Developer,1,19.9,52.8,17.4,0.4,Medium,2.3,10.1,1.91,8,5.4,4.6,9.08,80.4
Developer,4,14.5,43.7,26.3,2.2,Low,8.9,9.9,3.74,9,4.4,3.6,8.18,55.3
Writer,18,18.9,46.3,21.1,0.6,Low,3.7,7.1,0.1,9,5.4,5.1,7.07,92.7
Manager,9,4.7,15,23.4,2.5,Low,17.5,13.9,3.74,5,1,4.6,7.44,44.3
Designer,20,5.9,8,29.9,1.1,Medium,7.1,7.5,0.1,3,4.6,3.8,9.67,67.8
Marketer,11,8.8,29.3,20.3,0.8,Medium,3.7,6.8,0.71,10,4.8,6.3,7.82,77.5
Marketer,14,21.3,52.7,20.2,2,High,6.2,9.8,1.59,9,4.3,1.1,10,75.5
Designer,6,10.3,28,24.8,1,Low,9.2,4.9,1.9,7,4.4,4.9,7.21,56.4
Marketer,19,12.7,32.8,17.4,0.9,High,8.5,7.5,0.21,1,3.5,3.4,10,80.5
Marketer,7,13.8,38.4,11.4,2.1,High,7.8,4.1,3.47,6,4.2,4.8,10,53
Marketer,13,7.3,17.8,25.9,3.7,Medium,8.5,9.8,1.47,7,5.3,4.1,9.45,65.7
Analyst,15,10.3,36.5,16.4,1.4,Low,2.5,7.6,0.5,9,5.3,8.7,4.4,82.4
Developer,2,7.8,17.2,27.8,1.3,Medium,13.2,10.3,0.87,9,4,2.3,10,50.3
Writer,6,9.8,25.8,27.6,1.3,Low,2,5.9,3.63,6,5.2,6.1,6.31,61.5
Developer,16,12.4,21.2,16.4,0.8,Low,4.9,8.5,3.65,8,4.6,7.6,5.22,67.9
Manager,5,2.6,12.4,24.3,0.2,Low,12.3,13.1,2.17,5,5.2,6.2,6.25,61.6
Marketer,2,11.9,28.3,25.8,2.7,High,7.2,6.4,2.31,7,6,1.8,10,57.4
Developer,8,15.2,41.2,19.4,1.5,High,4.7,4.1,4.06,6,3.6,3.2,10,50.3
Manager,7,3.4,9.8,29.5,5.7,Medium,8.9,8.7,0.1,3,4.6,4.1,9.46,63.7
Writer,17,10.1,26.5,26.7,0.3,Medium,11,9.3,0.32,4,2.2,2.6,10,63.4
Developer,13,12.8,21.4,18.4,0.4,Low,6.8,8.6,1.86,5,3.9,6.5,6.03,73.7
Developer,10,17.3,45,10,6.6,High,6,8.2,0.1,3,6.3,4.7,10,86.1
Writer,1,10.3,29.1,24.6,1.1,Medium,6.4,5.7,0.44,4,4.7,4.2,9.38,61
Designer,19,1.4,6.2,26.4,0.8,Low,2.2,7.7,3.03,1,4.9,8.5,4.55,71.2
Marketer,1,16.2,44,19.4,0.6,Low,9.8,8.1,1.94,6,5.8,4.7,7.37,70.5
Developer,2,7.4,15.8,17.5,0.1,High,4.5,13.6,2.39,6,6.1,5.6,9.96,47.6
Designer,10,8.7,21.1,19.9,0.8,Low,6.1,4.7,3.37,1,5.2,7.3,5.43,74.9
Marketer,3,8.7,26.3,18,1.1,High,4.3,5.1,5.15,3,5.6,5.2,10,44.8
Developer,10,20.1,55.1,14.5,4,Medium,6.6,11.9,0.1,4,4.2,4.2,9.37,84.2
Analyst,1,7.8,11.4,25.2,0.6,Low,6.2,9.3,1.96,1,5.9,6.2,6.25,52.8
Manager,16,5.2,20.3,25.3,1.4,Medium,11.7,9.2,3.82,5,4.9,3.9,9.58,63.5
Developer,17,3.8,10.3,31.2,0.6,High,6.5,10.8,3.54,2,3.2,2.6,10,48.7
Developer,8,21.1,59.5,10.2,0.3,High,5.4,5.4,3.33,6,4.2,3.8,10,67.1
Developer,11,21.6,47.8,12.2,0.7,Medium,4.7,8.4,5.44,7,5.1,4.9,8.86,71.5
Analyst,13,7.3,17.9,25.9,1,Low,9.3,11.6,3.68,4,3.9,5.4,6.85,53
Designer,3,10.4,29.8,30.4,2.3,High,1.9,2.1,4.05,5,5.9,2.3,10,59.7
Developer,12,25.7,66,12.3,1.2,Low,4.9,8,2.18,9,6.4,5.3,6.92,98.7
Designer,8,9.3,11.1,30.5,1.3,Low,5,6.7,2.93,7,4.6,4.8,7.29,45.4
Developer,4,13.9,28,21,1.8,Low,4.9,7.3,4.97,4,6.5,6.1,6.34,64.5
Manager,11,9.5,23.5,24.1,0.8,Medium,15.6,12.8,4.86,2,4.4,2.2,10,53.9
Writer,13,18.4,38.5,17.2,1.7,Low,1,7.5,4.46,10,6.1,6.9,5.75,77.4
Designer,1,2.9,1.1,30.7,2,Medium,4.5,7.1,0.9,2,5.1,5,8.79,39.9
Analyst,6,13,34.4,24,1.4,High,2.7,7.6,2.37,8,7.3,3.1,10,76.4
Designer,14,0.4,0.5,23.7,1.1,High,5.3,11.3,1.1,6,4.8,5.6,9.96,56.4
Manager,2,4.5,8.8,35,1.9,Medium,18.3,12.5,0.96,8,4,1,10,34.4
Writer,7,22.2,56,19.4,2.8,Low,1,4.1,1.11,1,5.8,5.4,6.86,92.8
Writer,7,20.1,49.6,19,1.2,High,12.1,10.2,4.84,9,4.7,1,10,62.5
Designer,5,8,13.5,21.9,0.6,High,5.7,9.3,4.04,5,5.7,4.1,10,40.4
Developer,19,24,60.8,10,2.5,High,6.2,8.5,0.1,1,5.8,2.9,10,100
Analyst,13,10.3,22.4,28.7,2.7,High,9.7,7.9,2.65,5,3,1,10,52.5
Manager,13,7,21.5,25.6,1,High,12.4,14,1.71,7,2.9,1.8,10,57
Analyst,14,2.5,10.7,30.2,1.5,Low,8.2,9.9,0.1,8,4,5.8,6.55,68.6
Marketer,8,13.1,40.5,21.6,2.6,Low,5.4,7.8,4.02,3,4.2,6,6.41,66.4
Developer,19,8,22.8,22,3.3,Medium,9.3,10.3,1.2,2,5.2,4.7,9.01,73.5
Developer,10,16.3,39.3,17.8,0.8,Low,6.6,8.2,1.48,4,4.8,5.8,6.54,80.6
Developer,11,11.7,34.4,18,4.2,High,14.5,13.9,1.23,7,4,1.9,10,65.9
Developer,20,28.4,73,10,1.7,High,1,4.1,0.43,5,5.6,3.2,10,100
Designer,6,9.6,20.9,22,1,Medium,8.3,8.7,0.49,6,4,4.5,9.14,58.9
